source_id	target_id
391	184
343	738
872	542
247	55
606	461
574	195
464	810
187	929
600	545
583	662
263	533
432	65
561	137
363	496
836	899
192	907
664	627
213	312
523	110
722	883
243	456
844	374
353	424
225	616
327	445
787	685
399	132
522	415
87	284
196	417
911	870
800	85
598	868
290	142
632	379
292	725
230	358
331	874
304	129
75	162
647	360
771	396
720	306
833	839
820	779
201	125
95	301
369	726
499	18
249	491
88	684
910	384
239	248
936	894
897	933
672	37
532	724
915	229
478	841
510	761
557	190
717	255
311	211
516	482
330	398
711	875
643	530
473	512
834	355
115	209
146	70
394	509
751	666
615	75
570	467
566	492
831	281
116	753
593	677
935	522
215	587
518	213
479	105
316	635
423	243
726	6
120	152
375	569
602	852
100	83
812	584
160	778
366	60
608	437
716	165
714	815
367	661
492	830
18	723
401	1
1000	13
